id,name,category,standard,coverage,scope,base_product,machining,n_tabs,tabs,current_tabs,n_live_links,vendors,text_only_sources,aliases,notes,qty:voron-2.4,qty:voron-trident,qty:voron-0.2,qty:voron-switchwire,qty:voron-cascade,qty:stealthburner,qty:optional-parts,qty:tools,qty:afterburner,qty:voron-m4,qty:mobius-3.1,qty:jetpack,qty:voron-0,qty:voron-0.1,qty:voron-1.8,qty:voron-1.6.2,qty:voron-2.2,link_1,link_2,link_3,link_4,link_5,link_6,link_7,link_8,link_9,link_10,link_11,link_1_url,link_2_url,link_3_url,link_4_url,link_5_url,link_6_url,link_7_url,link_8_url,link_9_url,link_10_url,link_11_url
motion.gt2-16t-toothed-idler-w-bearing-6mm-wide-3mm-bore-13mmod,GT2 16T Toothed idler w/bearing (6mm wide) (3mm bore) (13mmOD),Motion,,all_live,,,,1,voron-0,,1,Amazon,included in kit,,,,,,,,,,,,,,,2,,,,,Amazon,,,,,,,,,,,https://amzn.to/3eiB1CM,,,,,,,,,,
motion.gt2-20t-6mm-wide-8mm-bore,GT2 20T (6mm wide) (8mm bore),Motion,,all_live,,,,1,voron-0,,1,AliExpress,included in kit,,,,,,,,,,,,,,,1,,,,,Aliexpress,,,,,,,,,,,https://s.click.aliexpress.com/e/_dYtoM9A,,,,,,,,,,
motion.gt2-20t-6mm-wide-pulley-5mm-bore,GT2 20T (6mm wide) Pulley (5mm bore),Motion,,partial,,,,10,voron-2.4 voron-trident voron-0.2 voron-switchwire voron-m4 mobius-3.1 voron-0 voron-0.1 voron-1.8 voron-2.2,voron-2.4 voron-trident voron-0.2 voron-switchwire,4,AliExpress,included in kit,"GT2 20T (6mm wide) (5mm bore) | GT2 20T Pulley (6mm wide, 5mm bore)",,3,3,2,3,,,,,,2,2,,3,2,3,,13,POWGE,Aliexpress,AliExpress,Aliexpress,,,,,,,,https://www.aliexpress.com/item/32226562320.html,https://s.click.aliexpress.com/e/_AqN4lx,https://s.click.aliexpress.com/e/E1Y0mkUu,https://s.click.aliexpress.com/e/_dYtoM9A,,,,,,,
motion.gt2-20t-6mm-wide-pulley-5mm-bore-no-set-screw-hub,GT2 20T (6mm wide) Pulley (5mm bore) - No Set Screw Hub,Motion,,no_links,,,,1,voron-2.2,,0,,Build from 2x POWGE 20t 6mm Pulley,,"RD pulleys are incorrect size and are inconsistent in profile, use POWGE",,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
motion.gt2-20t-6mm-wide-toothed-idler-5mm-bore,GT2 20T (6mm wide) Toothed Idler (5mm bore),Motion,,partial,,,,3,voron-2.4 voron-trident voron-1.8,voron-2.4 voron-trident,2,AliExpress | Filastruder,,,"RD pulleys are incorrect size and are inconsistent in profile, use POWGE",2,2,,,,,,,,,,,,,2,,,POWGE,Filastruder (US) [Gates],,,,,,,,,,https://www.aliexpress.com/item/32726309946.html,https://www.filastruder.com/products/gates-2gt-idler,,,,,,,,,
motion.gt2-20t-9mm-wide-pulley-5mm-bore,GT2 20T (9mm wide) Pulley (5mm bore),Motion,,all_live,,,,2,voron-2.4 voron-2.2,voron-2.4,1,AliExpress,,,"(10mm wide parts, such as the POWGE link are acceptable)",4,,,,,,,,,,,,,,,,8,POWGE,,,,,,,,,,,https://www.aliexpress.com/item/32650675929.html,,,,,,,,,,
motion.gt2-20t-9mm-wide-toothed-idler-5mm-bore,GT2 20T (9mm wide) Toothed Idler (5mm bore),Motion,,partial,,,,1,voron-2.4,voron-2.4,2,AliExpress | Filastruder,,,"(10mm wide parts, such as the POWGE link are acceptable)",4,,,,,,,,,,,,,,,,,POWGE,Filastruder (US) [Gates],,,,,,,,,,https://www.aliexpress.com/item/32750492452.html,https://www.filastruder.com/products/gates-2gt-idler,,,,,,,,,
motion.gt2-80t-6mm-wide-pulley-5mm-bore,GT2 80T (6mm wide) Pulley (5mm bore),Motion,,all_live,,,,1,voron-2.4,voron-2.4,1,AliExpress,,,,4,,,,,,,,,,,,,,,,,POWGE,,,,,,,,,,,https://www.aliexpress.com/item/32782605159.html,,,,,,,,,,
motion.gt2-belt-loop-6mm-wide-110mm,GT2 Belt Loop (6mm wide) - 110mm,Motion,,none_live,,,,1,voron-2.2,,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
motion.gt2-belt-loop-6mm-wide-150mm,GT2 Belt Loop (6mm wide) - 150mm,Motion,,all_live,,,,1,jetpack,,1,AliExpress,,,,,,,,,,,,,,,1,,,,,,POWGE (Aliexpress),,,,,,,,,,,https://www.aliexpress.com/item/1837021682.html,,,,,,,,,,
motion.gt2-belt-loop-6mm-wide-188mm,GT2 Belt Loop (6mm wide) - 188mm,Motion,,partial,,,,4,voron-2.4 voron-m4 mobius-3.1 voron-2.2,voron-2.4,2,AliExpress,,,,4,,,,,,,,,1,1,,,,,,4,POWGE,AliExpress,,,,,,,,,,https://www.aliexpress.com/item/4000034021834.html,https://s.click.aliexpress.com/e/ripvAfVQ,,,,,,,,,
motion.gt2-open-belt-6mm-2-meters,GT2 Open Belt 6mm (2 meters),Motion,,all_live,,,,1,voron-0,,1,AliExpress,included in kit,,,,,,,,,,,,,,,1,,,,,Aliexpress,,,,,,,,,,,https://s.click.aliexpress.com/e/_dZ6ZPZ2,,,,,,,,,,
motion.gt2-open-belt-6mm-3-meters,GT2 Open Belt 6mm (3 meters),Motion,,all_live,,,,1,voron-0.1,,2,AliExpress,,,,,,,,,,,,,,,,,1,,,,Aliexpress,Aliexpress,,,,,,,,,,https://s.click.aliexpress.com/e/_AWdYSR,https://s.click.aliexpress.com/e/_dZ6ZPZ2,,,,,,,,,
motion.gt2-open-belt-6mm-3000mm,GT2 Open Belt 6mm (3000mm),Motion,,all_live,,,,1,voron-0.2,voron-0.2,2,AliExpress,,,,,,1,,,,,,,,,,,,,,,Aliexpress,Aliexpress,,,,,,,,,,https://s.click.aliexpress.com/e/_DBbMKkt,https://s.click.aliexpress.com/e/_dZ6ZPZ2,,,,,,,,,
motion.gt2-open-belt-ll-2gt-6-6mm-wide,GT2 Open Belt LL-2GT-6 (6mm wide),Motion,,partial,,,,2,voron-trident voron-1.8,voron-trident,1,AliExpress,,,GATES belts are required for every open loop belt on the machine. SDP-SI is a US gates reseller (and tested),,6 meters,,,,,,,,,,,,,6 meters,,,Trianglelab,,,,,,,,,,,https://www.aliexpress.com/item/32853559638.html,,,,,,,,,,
motion.gt2-open-belt-ll-2gt-6-6mm-wide-1500mm,GT2 Open Belt LL-2GT-6 (6mm wide) - 1500mm,Motion,,partial,,,,1,voron-switchwire,voron-switchwire,2,AliExpress,,,GATES belts are required for every open loop belt on the machine. SDP-SI is a US gates reseller (and tested),,,,2,,,,,,,,,,,,,,AliExpress,POWGE,,,,,,,,,,https://s.click.aliexpress.com/e/2pncOJKs,https://www.aliexpress.com/item/32987817703.html,,,,,,,,,
motion.gt2-open-belt-ll-2gt-6-6mm-wide-800mm,GT2 Open Belt LL-2GT-6 (6mm wide) - 800mm,Motion,,no_links,,,,1,voron-switchwire,voron-switchwire,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion.gt2-open-belt-ll-2gt-6-6mm-wide-length-dependant-on-config,GT2 Open Belt LL-2GT-6 (6mm wide) - Length Dependant on Config,Motion,,partial,,,,2,voron-2.4 voron-2.2,voron-2.4,2,AliExpress,,,GATES belts are required for every open loop belt on the machine. SDP-SI is a US gates reseller (and tested),2,,,,,,,,,,,,,,,,2,Trianglelab,POWGE,,,,,,,,,,https://www.aliexpress.com/item/32853559638.html,https://www.aliexpress.com/item/32987817703.html,,,,,,,,,
motion.gt2-open-belt-ll-2gt-6-9mm-wide-length-dependant-on-config,GT2 Open Belt LL-2GT-6 (9mm wide) - Length Dependant on Config,Motion,,none_live,,,,1,voron-2.2,,0,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
motion.gt2-open-belt-ll-2gt-9-9mm-wide-length-dependant-on-config,GT2 Open Belt LL-2GT-9 (9mm wide) - Length Dependant on Config,Motion,,none_live,,,,1,voron-2.4,voron-2.4,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion.integrated-lead-screw-stepper-motors-300mm-2-4-8mm-pitch,"Integrated Lead Screw/Stepper Motors - 300mm, 2/4/8mm pitch",Motion,,none_live,,,,2,voron-trident voron-1.8,voron-trident,0,,,,4mm pitch recommended for most applications / You can chose whichever pitch you want--8mm or 4mm may be best,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
motion.key-bak-super48-36-13oz,"Key-bak Super48 36"" 13oz",Motion,,all_live,,,,1,voron-switchwire,voron-switchwire,1,Amazon,,,,,,,1,,,,,,,,,,,,,,Amazon,,,,,,,,,,,https://amzn.to/3isiyWo,,,,,,,,,,
motion.kfl08-pillow-bearing-8mm-id,KFL08 pillow bearing 8mm ID,Motion,,none_live,,,,1,voron-0,,0,,included in kit,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
motion.linear-bearings-lmuw8,Linear Bearings (LMUW8),Motion,,all_live,,,,1,voron-1.6.2,,1,Misumi,,,,,,,,,,,,,,,,,,,8,,Misumi,,,,,,,,,,,https://us.misumi-ec.com/vona2/detail/110300026540?HissuCode=LMUW8&Keyword=LMUW8&PNSearch=LMUW8&searchFlow=suggest2products,,,,,,,,,,
motion.linear-bearings-lm8luu,Linear Bearings - LM8LUU,Motion,,all_live,,,,1,voron-1.8,,1,AliExpress,,,,,,,,,,,,,,,,,,4,,,Aliexpress (CNA),,,,,,,,,,,https://www.aliexpress.com/item/32261426948.html,,,,,,,,,,
motion.linear-rail-mgn12h-see-configurator-for-length,Linear Rail MGN12H ** See Configurator for length **,Motion,,all_live,,,,3,voron-2.4 voron-trident voron-switchwire,voron-2.4 voron-trident voron-switchwire,5,AliExpress | RobotDigg | Zyltech | LDO Motors,,Linear Rail MGN12H for X Axis | Linear Rail MGN12H (300mm),"RobotDigg PN: GS_MGN12-1H-B300 pay attention to rail length vs build size, they are not the same / RobotDigg PN: GS_MGN12-1H-B350 pay attention to rail length vs build size, they are not the same / RobotDigg PN: GS_MGN12-1H-B400 pay attention to rail length vs build size, they are not the same / If ordering CNA, specify ""medium preload"" in order notes. RobotDigg PN: GS_MGN9-1H-B300",1@250; 1@300; 1@350,1@250x250 -> 300mm rails; 1@300x300 -> 350mm rails; 1@350x350 -> 400mm rails,,4,,,,,,,,,,,,,,CNA,RobotDigg (Black Stainless Rails),Zyltech,CNA,LDO,,,,,,,https://www.aliexpress.com/item/32829826159.html,"https://www.robotdigg.com/product/1314/Black-anodized-linear-rail-7,-9,-12-and-15",https://www.zyltech.com/zyltech-mgn12-h-type-linear-rail-with-single-or-double-carriage-block,https://www.aliexpress.com/item/2251832643511407.html,https://docs.ldomotors.com/en/voron/LDO_Voron_Distributors,,,,,,
motion.linear-rail-mgn9h-see-configurator-for-length,Linear Rail MGN9H ** See Configurator for length **,Motion,,all_live,,,,4,voron-2.4 voron-trident voron-1.8 voron-2.2,voron-2.4 voron-trident,3,AliExpress | RobotDigg | Zyltech,,Linear Rail MGN9H for Y Axis | Linear Rail MGN9H for Z Axis,"RobotDigg PN: GS_MGN9-1H-B300 pay attention to rail length vs build size, they are not the same / RobotDigg PN: GS_MGN9-1H-B350 pay attention to rail length vs build size, they are not the same / RobotDigg PN: GS_MGN9-1H-B400 pay attention to rail length vs build size, they are not the same / If ordering CNA, specify ""medium preload"" in order notes. RobotDigg PN: GS_MGN9-1H-B300 / If ordering CNA, specify ""medium preload"" in order notes. RobotDigg PN: GS_MGN9-1H-B350 / RobotDigg PN: GS_MGN9-1H-B300 / RobotDigg PN: GS_MGN9-1H-B350 / RobotDigg PN: GS_MGN9-1H-B400",6@250; 6@300; 6@350,2@250x250 -> 300mm rails; 2@300x300 -> 350mm rails; 2@350x350 -> 400mm rails; 3@All builds -> 300mm rails,,,,,,,,,,,,,4@250x250 -> 300mm rails; 4@300x300 -> 350mm rails,,7@250; 7@300; 7@350,CNA,RobotDigg (Black Stainless Rails),Zyltech,,,,,,,,,https://www.aliexpress.com/item/32773296501.html,"https://www.robotdigg.com/product/1314/Black-anodized-linear-rail-7,-9,-12-and-15",https://www.zyltech.com/zyltech-mgn9-linear-rail-with-single-or-double-carriage-block,,,,,,,,
motion.linear-rods-psfj8-320,Linear Rods (PSFJ8-320),Motion,,all_live,,,,1,voron-1.6.2,,1,Misumi,,,,,,,,,,,,,,,,,,,8,,Misumi,,,,,,,,,,,https://us.misumi-ec.com/vona2/detail/110302634310?HissuCode=PSFJ8-320&KWSearch=PSFJ8-320&PNSearch=PSFJ8-320&searchFlow=results2type,,,,,,,,,,
motion.linear-rods-8mm-320mm-long-for-230mm-z,"Linear Rods - 8mm, 320mm Long (for 230mm Z)",Motion,,all_live,,,,1,voron-1.8,,1,AliExpress,,,"These are only for new builds--users who want to keep their existing V1.6 320mm 8mm rods can do so, but with shorter Z travel",,,,,,,,,,,,,,,4,,,Aliexpress (CNA),,,,,,,,,,,https://www.aliexpress.com/item/32676553191.html,,,,,,,,,,
motion.mgn7h-linear-rail-with-carriage-150mm,MGN7H Linear Rail with Carriage (150mm),Motion,,partial,,,,3,voron-0.2 voron-0 voron-0.1,voron-0.2,1,AliExpress,,,CNA medium Load,,,5,,,,,,,,,,5,5,,,,CNA Mechanical,,,,,,,,,,,https://www.aliexpress.com/item/32880801484.html,,,,,,,,,,
motion.mr115-2rs-bearing,MR115-2RS Bearing,Motion,,partial,,,,1,jetpack,,1,AliExpress,,,,,,,,,,,,,,,3,,,,,,Fushi (Aliexpress),,,,,,,,,,,https://www.aliexpress.com/item/32955249477.html,,,,,,,,,,
motion.mr128-2rs-bearing,MR128-2RS Bearing,Motion,,none_live,,,,1,jetpack,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
motion.t8-flange-nut-8mm-lead-anti-backlash-prefered-see-note-section,T8 flange Nut 8mm Lead --anti-backlash prefered-- (SEE NOTE SECTION),Motion,,partial,,,,3,voron-0.2 voron-0 voron-0.1,voron-0.2,2,Amazon | AliExpress,,,"anti-backlash nuts commonly come in two sizes 18mm hole spacing with a 24mmOD or a 16mm hole spacing with 22mmOD, the later will require you to add a flat to one side by hand. either option will work just make sure you print the part that matched your nut. there is a tool in the STL file to help with adding the flats to a full round nut. / anti-backlash nuts commonly come in two sides 18mm hole spacing with a 24mmOD or a 16mm hole spacing with 22mmOD, the later will require you do add a flat to one side by hand. either option will work just make sure you print the part that matched your nut. there is a tool in the STL file to help with adding the flats to a full round nut.",,,1,,,,,,,,,,1,1,,,,Amazon,Aliexpress,,,,,,,,,,https://www.amazon.com/dp/B088FPNVVF,https://s.click.aliexpress.com/e/_dSL2ALg,,,,,,,,,
panels.deck-front-deck-back-mid-panel-3mm-thick.voron-0,"(Deck front,Deck back, Mid panel) 3mm thick",Panels,,all_live,voron-0,,,1,voron-0,,1,mnlasercutting.com,Hand cut,,pretty much any resonable plastic as long as its 3mm thick. (ABS is a cheap common option) you can even print them if you want,,,,,,,,,,,,,1,,,,,MN Laser Cutting,,,,,,,,,,,https://mnlasercutting.com/,,,,,,,,,,
panels.deck-panel-mid-panel-motor-panel-rear-panel-3mm-thick.voron-0.1,"(Deck Panel, Mid panel, Motor Panel, Rear Panel) 3mm thick",Panels,,all_live,voron-0.1,,,1,voron-0.1,,1,mnlasercutting.com,cut by hand per Drawings,,pretty much any reasonable plastic as long as its 3mm thick. (ABS is a cheap common option) you can even print them if you want,,,,,,,,,,,,,,1,,,,MN Laser Cutting,,,,,,,,,,,https://mnlasercutting.com/,,,,,,,,,,
panels.deck-panel-mid-panel-motor-panel-rear-panel-3mm-thick-drawings-and-dxf-on-github.voron-0.2,"(Deck Panel, Mid panel, Motor Panel, Rear Panel) 3mm thick (drawings and dxf on github)",Panels,,all_live,voron-0.2,,,1,voron-0.2,voron-0.2,1,mnlasercutting.com,cut by hand per Drawings,,pretty much any reasonable plastic as long as its 3mm thick. (ABS is a cheap common option) you can even print them if you want,,,1,,,,,,,,,,,,,,,MN Laser Cutting,,,,,,,,,,,https://mnlasercutting.com/,,,,,,,,,,
panels.bottom-back-electronics-bay-panels.voron-2.4,Bottom/Back/Electronics Bay Panels,Panels,,all_live,voron-2.4,,,1,voron-2.4,voron-2.4,2,michaels.com | mnlasercutting.com,,,,3,,,,,,,,,,,,,,,,,Michaels Craft Store (Coroplast),MN Laser Cutting,,,,,,,,,,https://www.michaels.com/corrugated-board-by-creatology/M10567770.html,https://mnlasercutting.com/,,,,,,,,,
panels.bottom-back-electronics-bay-panels.voron-1.8,Bottom/Back/Electronics Bay Panels,Panels,,all_live,voron-1.8,,,1,voron-1.8,,2,michaels.com | mnlasercutting.com,,,ABS Sheets are a common replacement that are also easy to cut and offer a more rigid surface for the deck plate that can have components mounted directly to it,,,,,,,,,,,,,,,,,,Michaels Craft Store (Coroplast),MN Laser Cutting,,,,,,,,,,https://www.michaels.com/corrugated-board-by-creatology/M10567770.html,https://www.mnlasercutting.com/,,,,,,,,,
panels.bottom-back-electronics-bay-panels.voron-1.6.2,Bottom/Back/Electronics Bay Panels,Panels,,all_live,voron-1.6.2,,,1,voron-1.6.2,,2,michaels.com | mnlasercutting.com,,,ABS Sheets are a common replacement that are also easy to cut and offer a more rigid surface for the deck plate that can have components mounted directly to it,,,,,,,,,,,,,,,,3,,Michaels Craft Store (Coroplast),MN Laser Cutting,,,,,,,,,,https://www.michaels.com/corrugated-board-by-creatology/M10567770.html,https://www.mnlasercutting.com/,,,,,,,,,
panels.bottom-back-electronics-bay-panels.voron-2.2,Bottom/Back/Electronics Bay Panels,Panels,,all_live,voron-2.2,,,1,voron-2.2,,2,michaels.com | mnlasercutting.com,,,,,,,,,,,,,,,,,,,,3,Michaels Craft Store (Coroplast),MN Laser Cutting,,,,,,,,,,https://www.michaels.com/corrugated-board-by-creatology/M10567770.html,https://www.mnlasercutting.com/,,,,,,,,,
panels.deck-bottom-and-back-panels.voron-trident,"Deck, Bottom and Back Panels",Panels,,all_live,voron-trident,,,1,voron-trident,voron-trident,3,michaels.com | Printed Solid | mnlasercutting.com,,,ABS and ACM Sheets are a common replacement that are also easy to cut and offer a more rigid surface for the deck plate that can have components mounted directly to it,,,,,,,,,,,,,,,,,,Michaels Craft Store (Coroplast),Printed Solid,MN Laser Cutting,,,,,,,,,https://www.michaels.com/corrugated-board-by-creatology/M10567770.html,https://www.printedsolid.com/products/voron-trident-panel-set-made-from-aluminum-composite-material-acrylic-sold-separate,https://www.mnlasercutting.com/,,,,,,,,
panels.front-door-212mm-x-239mm-x-2-5mm-pc-or-acrylic.voron-0,Front Door 212mm x 239mm x 2.5mm (PC or Acrylic),Panels,,all_live,voron-0,,,1,voron-0,,1,tapplastics.com,3mm foam board,,,,,,,,,,,,,,,1,,,,,TAP Plastic,,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.front-door-212mm-x-239mm-x-2-5mm-pc-or-acrylic.voron-0.1,Front Door 212mm x 239mm x 2.5mm (PC or Acrylic),Panels,,all_live,voron-0.1,,,1,voron-0.1,,1,tapplastics.com,cut by hand per Drawings,,,,,,,,,,,,,,,,1,,,,TAP Plastic,,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.front-door-212mm-x-239mm-x-3mm-pc-or-acrylic.voron-0.2,Front Door 212mm x 239mm x 3mm (PC or Acrylic),Panels,,all_live,voron-0.2,,,1,voron-0.2,voron-0.2,1,tapplastics.com,cut by hand per Drawings,,,,,1,,,,,,,,,,,,,,,TAP Plastic,,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.opaque-enclosure-panels.voron-switchwire,Opaque Enclosure Panels,Panels,,all_live,voron-switchwire,,,1,voron-switchwire,voron-switchwire,1,mnlasercutting.com,,,,,,,6,,,,,,,,,,,,,,MN Laser Cutting,,,,,,,,,,,https://mnlasercutting.com/,,,,,,,,,,
panels.rear-panel-212mm-x-248mm-whatever-material-you-want.voron-0.2,Rear Panel 212mm x 248mm (whatever material you want),Panels,,all_live,voron-0.2,,,1,voron-0.2,voron-0.2,1,tapplastics.com,cut by hand per Drawings,,,,,1,,,,,,,,,,,,,,,TAP Plastic,,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.rear-panel-212mm-x-248mm-whatever-material-you-want.voron-0.1,Rear Panel 212mm x 248mm (whatever material you want),Panels,,all_live,voron-0.1,,,1,voron-0.1,,1,tapplastics.com,cut by hand per Drawings,,,,,,,,,,,,,,,,1,,,,TAP Plastic,,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.rear-panel-212mm-x-248mm-x-2-5mm-whatever-material-you-want.voron-0,Rear Panel 212mm x 248mm x 2.5mm (whatever material you want),Panels,,all_live,voron-0,,,1,voron-0,,1,tapplastics.com,3mm foam board,,,,,,,,,,,,,,,1,,,,,TAP Plastic,,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.side-panel-212mm-x-230mm-x-2-5mm-pc-or-acrylic.voron-0,Side Panel 212mm x 230mm x 2.5mm (PC or Acrylic),Panels,,all_live,voron-0,,,1,voron-0,,1,tapplastics.com,3mm foam board,,,,,,,,,,,,,,,2,,,,,TAP Plastic,,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.side-panel-212mm-x-230mm-x-2-5mm-pc-or-acrylic.voron-0.1,Side Panel 212mm x 230mm x 2.5mm (PC or Acrylic),Panels,,all_live,voron-0.1,,,1,voron-0.1,,1,tapplastics.com,cut by hand per Drawings,,"print panel clips that match your panel thickness, if you are in between print the smaller size",,,,,,,,,,,,,,2,,,,TAP Plastic,,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.side-panel-212mm-x-230mm-x-3mm-pc-or-acrylic.voron-0.2,Side Panel 212mm x 230mm x 3mm (PC or Acrylic),Panels,,all_live,voron-0.2,,,1,voron-0.2,voron-0.2,1,tapplastics.com,cut by hand per Drawings,,"print panel clips that match your panel thickness, if you are in between print the smaller size",,,2,,,,,,,,,,,,,,,TAP Plastic,,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.side-front-top-acrylic-panels.voron-2.4,Side/Front/Top Acrylic Panels,Panels,,all_live,voron-2.4,,,1,voron-2.4,voron-2.4,1,tapplastics.com,,,,4,,,,,,,,,,,,,,,,,TAP Plastics (Acrylic),,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/acrylic_sheets_clear/508,,,,,,,,,,
panels.side-front-top-acrylic-panels.voron-switchwire,Side/Front/Top Acrylic Panels,Panels,,no_links,voron-switchwire,,,1,voron-switchwire,voron-switchwire,0,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panels.side-front-top-polycarbonate-panels.voron-trident,Side/Front/Top Polycarbonate Panels,Panels,,partial,voron-trident,,,1,voron-trident,voron-trident,1,tapplastics.com,,,See BOM for sizes,,,,,,,,,,,,,,,,,,TAP Plastics (Polycarbonate),,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.side-front-top-polycarbonate-panels.voron-1.8,Side/Front/Top Polycarbonate Panels,Panels,,all_live,voron-1.8,,,1,voron-1.8,,1,tapplastics.com,,,,,,,,,,,,,,,,,,,,,TAP Plastics (Polycarbonate),,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.side-front-top-polycarbonate-panels.voron-2.2,Side/Front/Top Polycarbonate Panels,Panels,,all_live,voron-2.2,,,1,voron-2.2,,1,tapplastics.com,,,,,,,,,,,,,,,,,,,,4,TAP Plastics (Polycarbonate),,,,,,,,,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516,,,,,,,,,,
panels.tophat-panels.voron-0.2,TopHat Panels,Panels,,all_live,voron-0.2,,,1,voron-0.2,voron-0.2,1,mnlasercutting.com,cut by hand per Drawings,,,,,1,,,,,,,,,,,,,,,MN Laser Cutting,,,,,,,,,,,https://mnlasercutting.com/shop/p/voron-0-laser-cut-tophat-panels,,,,,,,,,,
panels.tophat-panels.voron-0.1,TopHat Panels,Panels,,all_live,voron-0.1,,,1,voron-0.1,,1,mnlasercutting.com,cut by hand per Drawings,,,,,,,,,,,,,,,,1,,,,MN Laser Cutting,,,,,,,,,,,https://mnlasercutting.com/shop/p/voron-0-laser-cut-tophat-panels,,,,,,,,,,
panels.tophat-panels-optional.voron-0,TopHat Panels (OPTIONAL),Panels,,all_live,voron-0,,,1,voron-0,,1,mnlasercutting.com,,,,,,,,,,,,,,,,1,,,,,MN Laser Cutting,,,,,,,,,,,https://mnlasercutting.com/,,,,,,,,,,
printed-parts.printed-parts,Printed Parts,Printed Parts,,all_live,,,,11,voron-2.4 voron-trident voron-0.2 voron-switchwire voron-m4 mobius-3.1 voron-0 voron-0.1 voron-1.8 voron-1.6.2 voron-2.2,voron-2.4 voron-trident voron-0.2 voron-switchwire,1,Print It Forward,Print Yourself,,,1,1,1,1,,,,,,1,1,,1,1,1,1,1,Print It Forward,,,,,,,,,,,https://pif.voron.dev/,,,,,,,,,,
tools.6in-digital-calipers,6in Digital Calipers,Tools,,partial,,,,1,tools,tools,2,AliExpress | harborfreight.com,,,"for measuring shaft length/spacer height/etc, dont have to be particularly accurate, just to 0.1mm (hence the cheapness)",,,,,,,,1,,,,,,,,,,Aliexpress,Harbor Freight,,,,,,,,,,https://www.aliexpress.com/item/32690065180.html,https://www.harborfreight.com/6-in-digital-caliper-with-sae-and-metric-fractional-readings-63731.html,,,,,,,,,
tools.auto-adjusting-wire-strippers,Auto Adjusting - Wire Strippers,Tools,,all_live,,,,1,tools,tools,2,Amazon,,,"For Stripping Wire, knipex are nicer, but cost a lot more",,,,,,,,1,,,,,,,,,,Amazon,Knipex,,,,,,,,,,https://smile.amazon.com/gp/product/B01018CYV8,https://www.amazon.com/dp/B000R895YM,,,,,,,,,
tools.center-punch,Center Punch,Tools,,partial,,,,1,tools,tools,1,Amazon,,,"If you are drilling your own bed or drilling your own blind joint access holes, a center punch can help you locate the holes more accurately",,,,,,,,1,,,,,,,,,,Amazon,,,,,,,,,,,https://www.amazon.com/dp/B0006J4K88,,,,,,,,,,
tools.deburring-tool,Deburring Tool,Tools,,all_live,,,,1,tools,tools,2,Amazon | AliExpress,,,"If your MIC6 build plate has sharp edges, this can remove the burr. Also can be used for cleaning up printed parts",,,,,,,,1,,,,,,,,,,Amazon,Aliexpress,,,,,,,,,,https://www.amazon.com/dp/B07JGVDRQC,https://www.aliexpress.com/item/33032626707.html,,,,,,,,,
tools.engineer-pa-09-crimping-tool,Engineer PA-09 Crimping Tool,Tools,,all_live,,,,1,tools,tools,1,Amazon,,,This is THE best tool for the crimps on this project. It is worth every penny. Many people tried cheaper alternatives and ultimately landed on a pair of these as well.,,,,,,,,1,,,,,,,,,,Amazon,,,,,,,,,,,https://www.amazon.com/dp/B002AVVO7K,,,,,,,,,,
